POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,Total Crime 2023
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Endeavour Hills,211,444,27,28,124,0,834
3803,Southeastern municipalities and their suburbs,City of Casey,Outer,Hallam,163,431,26,25,72,0,717
3804,Southeastern municipalities and their suburbs,City of Casey,Outer,Narre Warren North,49,125,10,8,24,1,217
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,"Narre Warren, Narre Warren South",619,1455,115,96,349,1,2635
3806,Southeastern municipalities and their suburbs,City of Casey,Outer,Berwick,362,1088,54,50,178,1,1733
3807,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Beaconsfield,50,166,15,9,29,0,269
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Pakenham,651,1631,122,117,492,6,3019
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Bunyip,20,30,3,5,13,0,71
3910,Southeastern municipalities and their suburbs,City of Frankston,Outer,Langwarrin,145,328,35,20,112,0,640
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Pearcedale, Somerville, Pearcedale",93,247,21,8,90,1,460
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Hastings, Hastings West",175,540,33,44,193,3,988
3930,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mount Eliza,62,250,12,11,60,1,396
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mornington,222,728,55,162,184,3,1354
3934,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Mount Martha, Balcombe, Osborne",36,230,6,12,45,2,331
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Dromana, Safety Beach",80,353,21,29,143,8,634
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Rosebud, Rosebud South, Cape Schanck, Fingal",200,462,43,53,188,2,948
3975,Southeastern municipalities and their suburbs,City of Casey,Outer,"Lynbrook, Lyndhurst",109,356,18,14,71,0,568
3976,Southeastern municipalities and their suburbs,City of Casey,Outer,Hampton Park,321,515,47,31,229,3,1146
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye",1197,2603,181,161,762,1,4905
3978,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,"Clyde, Clyde North",317,927,28,31,197,0,1500
3981,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Koo Wee Rup,47,116,4,11,20,0,198
