POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,A Crimes against the person 2023,B Property and deception offences 2023,C Drug offences 2023,D Public order and security offences 2023,E Justice procedures offences 2023,F Other offences 2023,Total Crime 2023,Estimated_Resident_Population_2021,School_Count_2022,Hospital_Count_2023,Police_Count_2023,Supermarket_Count_2023
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Noble Park, Noble Park North",775000.0,487,1351,131,91,362,3,2425,7520,10,1.0,0.0,1.0
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Dandenong, Dandenong North",740000.0,1400,3517,330,423,1536,7,7213,22839,15,0.0,1.0,1.0
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,"Doveton, Eumemmerring",687750.0,236,590,28,38,161,0,1053,12061,2,0.0,1.0,1.0
3178,Eastern municipalities and their suburbs,City of Knox,Mid,Rowville,1080000.0,207,594,44,26,162,0,1033,15540,6,0.0,1.0,1.0
3180,Eastern municipalities and their suburbs,City of Knox,Mid,Knoxfield,970000.0,59,182,23,12,29,1,306,16733,3,0.0,0.0,1.0
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Prahran, Windsor",1725000.0,493,1727,98,241,218,5,2782,19460,3,1.0,0.0,1.0
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"St Kilda, St Kilda West",2070000.0,591,1965,192,216,417,7,3388,26204,4,0.0,1.0,1.0
3183,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Balaclava, St Kilda East, St Kilda East",1648500.0,166,830,24,38,106,0,1164,16085,6,1.0,0.0,1.0
3184,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Elwood,2600000.0,88,530,17,18,65,0,718,15041,4,0.0,0.0,0.0
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Ripponlea, Gardenvale, Elsternwick, Gardenvale",1936666.6666666667,91,475,12,23,65,0,666,12032,4,1.0,0.0,0.0
3186,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton,3450000.0,96,719,11,50,74,2,952,23053,8,1.0,0.0,1.0
3187,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton East,2312500.0,65,420,19,18,62,0,584,16695,4,0.0,0.0,0.0
3188,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Hampton, Hampton East",1974750.0,114,614,24,35,101,1,889,18406,4,1.0,0.0,1.0
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Moorabbin, Moorabbin",1377500.0,87,464,50,38,326,0,965,9198,5,1.0,1.0,1.0
3190,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Highett, Highett",1465000.0,68,395,18,24,165,0,670,12541,1,0.0,0.0,1.0
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Sandringham,2384000.0,81,282,15,18,69,1,466,17518,4,1.0,1.0,1.0
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North",1189000.0,240,906,32,43,133,3,1357,24355,6,0.0,1.0,1.0
3193,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Beaumaris, Black Rock",2313750.0,77,353,9,5,38,5,487,14124,6,0.0,0.0,0.0
3194,Southeastern municipalities and their suburbs,City of Kingston,Mid,Mentone,1470000.0,102,583,12,23,90,1,811,13304,8,1.0,0.0,1.0
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways",1380400.0,247,809,47,60,168,6,1337,8927,11,0.0,1.0,1.0
