POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change 2021-22,change 2021-22,Growth PA,SUBURB_NAMES
3033,Northern municipalities and their suburbs,City of Moonee Valley,Mid,527500.0,560000.0,599000.0,651000.0,720000.0,843000.0,830000.0,835000.0,842000,1000000,992500,960000,-1,88,6.5,"Keilor East, Keilor East"
3033,Western municipalities and their suburbs,City of Brimbank,Mid,527500.0,560000.0,599000.0,651000.0,720000.0,843000.0,830000.0,835000.0,842000,1000000,992500,960000,-1,88,6.5,"Keilor East, Keilor East"
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,775000.0,830500.0,920000.0,1006000.0,1110500.0,1310000.0,1360000.0,1300000.0,1290000,1540000,1550000,1065000,1,100,7.2,Moonee Ponds
3056,Northern municipalities and their suburbs,City of Moreland,Mid,673000.0,750000.0,815000.0,860500.0,946000.0,1200000.0,1100000.0,1037500.0,1100000,1350000,1325000,1300000,-2,97,7.0,Brunswick
3057,Northern municipalities and their suburbs,City of Moreland,Mid,713000.0,767000.0,819500.0,888000.0,998000.0,1150000.0,1170000.0,1011500.0,1286500,1440000,1355000,1201000,-6,90,6.6,Brunswick East
3055,Northern municipalities and their suburbs,City of Moreland,Mid,685000.0,745000.0,790000.0,866500.0,1005000.0,1155000.0,1160000.0,1061000.0,1177500,1342500,1285500,1225000,-4,88,6.5,Brunswick West
3058,Northern municipalities and their suburbs,City of Moreland,Mid,594000.0,633000.0,710000.0,778000.0,876000.0,1000000.0,966500.0,935500.0,1085000,1256000,1215000,1100000,-3,105,7.4,"Coburg, Coburg East, Coburg North"
3058,Northern municipalities and their suburbs,City of Moreland,Mid,466500.0,560000.0,597500.0,675000.0,765000.0,861000.0,841500.0,825000.0,975000,1102000,1060000,1112000,-4,127,8.6,"Coburg, Coburg East, Coburg North"
3058,Northern municipalities and their suburbs,City of Moreland,Mid,489500.0,538500.0,600000.0,665000.0,780000.0,821000.0,814000.0,805000.0,912500,1000000,1012500,900000,1,107,7.5,"Coburg, Coburg East, Coburg North"
3060,Northern municipalities and their suburbs,City of Moreland,Mid,406500.0,410000.0,444000.0,510000.0,587500.0,705000.0,720000.0,665000.0,715000,815000,770000,777000,-6,90,6.6,Fawkner
3046,Northern municipalities and their suburbs,City of Moreland,Mid,437500.0,454000.0,500000.0,560000.0,600000.0,730000.0,725000.0,700000.0,740000,835500,850000,735000,2,94,6.9,"Glenroy, Hadfield, Oak Park"
3046,Northern municipalities and their suburbs,City of Moreland,Mid,430000.0,461500.0,500000.0,550000.0,624500.0,740500.0,741500.0,730000.0,745000,890000,888000,795000,0,107,7.5,"Glenroy, Hadfield, Oak Park"
3046,Northern municipalities and their suburbs,City of Moreland,Mid,540000.0,576500.0,626000.0,660000.0,822500.0,853500.0,878500.0,840000.0,911500,1150000,1155000,840500,0,114,7.9,"Glenroy, Hadfield, Oak Park"
3044,Northern municipalities and their suburbs,City of Moreland,Mid,540000.0,580000.0,655000.0,720000.0,805000.0,891000.0,901000.0,855000.0,947500,1050000,1105000,897500,5,105,7.4,"Pascoe Vale, Pascoe Vale South, Coonans Hill"
3044,Northern municipalities and their suburbs,City of Moreland,Mid,627500.0,645500.0,701000.0,745000.0,840000.0,975000.0,955000.0,950000.0,1006000,1299500,1140000,1085000,-12,82,6.2,"Pascoe Vale, Pascoe Vale South, Coonans Hill"
